Time resolution is 1 ps
Time 0: dut.layer_stack_inst.u_layer4.data_vector_o = 00000000000000000000000000000000000000000000000000000000000000000000000000000000
Time 23285000: dut.layer_stack_inst.u_layer4.data_vector_o = 0000000000000000000000000000000000000000ffd6003fffd9fb63ffe91ce8ffdf80e70026f720
Time 24615000: dut.layer_stack_inst.u_layer4.data_vector_o = ffe8cfe5fff38dafffecebb0fff31335ffe22fb1ffd6003fffd9fb63ffe91ce8ffdf80e70026f720
Time 28755000: dut.layer_stack_inst.u_layer4.data_vector_o = ffe8cfe5fff38dafffecebb0fff31335ffe22fb1fffad781ffe78a8cfffce18d000e372cfff9f0a7
Time 30085000: dut.layer_stack_inst.u_layer4.data_vector_o = fff2fb36fff7868300044961ffef8b97fff598b1fffad781ffe78a8cfffce18d000e372cfff9f0a7
Time 34225000: dut.layer_stack_inst.u_layer4.data_vector_o = fff2fb36fff7868300044961ffef8b97fff598b1fffd6849ffe10c310025cfdffff47315ffda7b8f
Time 35555000: dut.layer_stack_inst.u_layer4.data_vector_o = ffd737ddffe5828bfffa88adffe4c3c7ffd58aa4fffd6849ffe10c310025cfdffff47315ffda7b8f
Time 39695000: dut.layer_stack_inst.u_layer4.data_vector_o = ffd737ddffe5828bfffa88adffe4c3c7ffd58aa4ffe4ce900022b06cfff5d7d2fff0801bffcfe4ec
Time 41025000: dut.layer_stack_inst.u_layer4.data_vector_o = fff159b1ffecbc35fff8878dffc136e0ffe4356cffe4ce900022b06cfff5d7d2fff0801bffcfe4ec
Time 45165000: dut.layer_stack_inst.u_layer4.data_vector_o = fff159b1ffecbc35fff8878dffc136e0ffe4356c0018f7fcffe463a9fff82312ffe74c3fffe5d04e
Time 46495000: dut.layer_stack_inst.u_layer4.data_vector_o = fff729c6ffe4943bfffcd5b1ffdbc90fffe5a5b60018f7fcffe463a9fff82312ffe74c3fffe5d04e
Time 50635000: dut.layer_stack_inst.u_layer4.data_vector_o = fff729c6ffe4943bfffcd5b1ffdbc90fffe5a5b6ffd5223c000ba1beffe12363ffe414ecffd16016
Time 51965000: dut.layer_stack_inst.u_layer4.data_vector_o = fff6e1ccffe27605ffd66541ffcfcb2400268240ffd5223c000ba1beffe12363ffe414ecffd16016
Time 56105000: dut.layer_stack_inst.u_layer4.data_vector_o = fff6e1ccffe27605ffd66541ffcfcb2400268240ffed455effdb98bbfff55768ffeb516efff756f6
Time 57435000: dut.layer_stack_inst.u_layer4.data_vector_o = ffe855aeffef0da5ffe095e1001bc398fffeea40ffed455effdb98bbfff55768ffeb516efff756f6
Time 61575000: dut.layer_stack_inst.u_layer4.data_vector_o = ffe855aeffef0da5ffe095e1001bc398fffeea40ffe1461cffdd1f17fff1948dffd8e25cffcf6299
Time 62905000: dut.layer_stack_inst.u_layer4.data_vector_o = ffdec937ffc247d3003e8023ff94ae7fffcdf3c4ffe1461cffdd1f17fff1948dffd8e25cffcf6299
Time 67045000: dut.layer_stack_inst.u_layer4.data_vector_o = ffdec937ffc247d3003e8023ff94ae7fffcdf3c4ffe4580cfff35a7ffff65d6fffece299ffec19b7
Time 68375000: dut.layer_stack_inst.u_layer4.data_vector_o = fff84798001bac26ffe623bfffe4a934fff9761fffe4580cfff35a7ffff65d6fffece299ffec19b7
Time 72515000: dut.layer_stack_inst.u_layer4.data_vector_o = fff84798001bac26ffe623bfffe4a934fff9761ffff5f87bfff16dedffd913aaffe0d4d3ffe2d72b
Time 73845000: dut.layer_stack_inst.u_layer4.data_vector_o = 0021bca6ffe7163dfff3b7ecffc1cbdcffeaa707fff5f87bfff16dedffd913aaffe0d4d3ffe2d72b
$finish called at time : 80736 ns : File "C:/Streamline Accelerator/00_RTL_Skeleton/dsd_termprj.srcs/sim_1/new/tb_top_mlp.v" Line 73
INFO: xsimkernel Simulation Memory Usage: 56596 KB (Peak: 56596 KB), Simulation CPU Usage: 21921 ms
